City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,iqaluit,63.7506,-68.5145,7.85,61,75,3.09,CA,1719622870
83,massawa,15.6097,39.45,34.19,48,42,3.09,ER,1719623000
84,susuman,62.7833,148.1667,4.91,93,100,1.24,RU,1719623002
85,yoko,5.5333,12.3167,18.0,95,92,1.16,CM,1719623003
86,oleiros,43.3333,-8.3167,16.62,91,100,5.81,ES,1719623004
87,port mathurin,-19.6833,63.4167,22.77,63,61,8.14,MU,1719623005
88,kuta,-8.7233,115.1723,27.97,89,20,3.6,ID,1719623007
89,tiksi,71.6872,128.8694,14.56,39,8,2.61,RU,1719623008
90,al qitena,14.8648,32.3668,32.01,44,79,7.46,SD,1719623009
91,punta arenas,-53.15,-70.9167,-1.94,93,20,3.09,CL,1719623011
92,illizi,26.4833,8.4667,30.89,13,0,3.33,DZ,1719623012
93,ust-nera,64.5667,143.2,13.25,52,100,2.85,RU,1719623013
94,kill devil hills,36.0307,-75.676,26.01,90,0,4.63,US,1719622829
95,arraial do cabo,-22.9661,-42.0278,21.98,94,0,2.06,BR,1719622940
96,naze,28.3667,129.4833,28.51,79,100,5.84,JP,1719623017
97,lebu,-37.6167,-73.65,6.91,79,100,4.74,CL,1719622948
98,at taj,24.2049,23.2857,28.44,24,5,4.43,LY,1719623019
99,panaba,21.2833,-88.2667,25.82,89,98,5.78,MX,1719623021
100,urangan,-25.3,152.9,22.89,81,79,3.58,AU,1719623022
101,kourou,5.1552,-52.6478,25.03,87,10,2.31,GF,1719622806
102,carutapera,-1.195,-46.02,24.4,92,100,2.22,BR,1719622945
103,kenai,60.5544,-151.2583,15.64,70,90,3.44,US,1719623026
104,hamilton,39.1834,-84.5333,29.72,62,0,3.09,US,1719622695
105,grossalmerode,51.2667,9.7833,12.78,77,17,1.12,DE,1719623029
106,shevchenko,48.5,35.0,18.32,78,2,1.58,UA,1719623030
107,mount pearl,47.5166,-52.7813,15.81,98,100,8.75,CA,1719623031
108,avarua,-21.2078,-159.775,27.03,83,75,6.17,CK,1719623032
109,thompson,55.7435,-97.8558,17.09,34,40,1.54,CA,1719623034
110,angul,20.85,85.1,27.78,79,100,2.87,IN,1719623035
111,saipan,15.1355,145.701,28.45,79,100,7.95,MP,1719623036
112,sao tome,0.3365,6.7273,24.95,84,66,3.54,ST,1719623039
113,carnarvon,-24.8667,113.6333,18.48,71,0,6.04,AU,1719623040
114,la passe,45.5549,-0.8967,22.13,82,92,5.36,FR,1719623041
115,merizo village,13.2658,144.6691,29.99,88,37,5.04,GU,1719623043
116,waddan,29.1614,16.139,29.64,29,0,3.54,LY,1719623044
117,yemva,62.59,50.8594,10.54,70,21,1.18,RU,1719623045
118,acapulco de juarez,16.8634,-99.8901,25.01,77,99,3.93,MX,1719622790
119,kursavka,44.4564,42.5093,15.33,65,38,1.0,RU,1719623048
120,dingli,35.8614,14.3822,23.23,94,0,2.57,MT,1719623049
121,mantsala,60.6609,25.2838,20.82,79,100,2.3,FI,1719623050
122,tabou,4.423,-7.3528,24.49,85,97,3.83,CI,1719623051
123,ghat,24.9647,10.1728,30.34,15,100,1.51,LY,1719623053
124,hargeysa,9.56,44.065,20.42,63,12,14.1,SO,1719623054
125,valdovino,43.6094,-8.1115,15.52,88,100,4.66,ES,1719623055
126,al burayqah,30.4062,19.5739,24.55,80,0,5.17,LY,1719623056
127,luderitz,-26.6481,15.1594,17.89,52,84,3.21,NA,1719623058
128,kannangad,12.3081,75.1063,26.25,86,100,2.63,IN,1719623059
129,bredasdorp,-34.5322,20.0403,16.09,43,87,2.98,ZA,1719623060
130,slave lake,55.2834,-114.769,19.99,56,0,2.57,CA,1719622967
131,tura,25.5198,90.2201,24.47,99,100,1.74,IN,1719623064
132,college,64.8569,-147.8028,25.99,44,75,6.69,US,1719624135
133,forster,-32.1667,152.5167,19.05,64,2,1.68,AU,1719624136
134,bilibino,68.0546,166.4372,17.5,55,100,1.52,RU,1719624138
135,ingeniero jacobacci,-41.3427,-69.5448,-0.7,75,4,3.64,AR,1719624139
136,orkney,-26.9802,26.6727,13.03,45,100,1.83,ZA,1719626945
137,kyzyl,51.7,94.45,28.46,29,1,1.08,RU,1719628659
138,lihue,21.9789,-159.3672,27.77,68,0,7.2,US,1719628660
139,languyan,5.2618,120.0807,28.69,75,83,0.38,PH,1719628661
140,la'ie,21.6477,-157.9253,28.98,73,1,2.68,US,1719628663
141,buala,-8.145,159.5921,28.6,76,100,4.86,SB,1719628664
142,patterson,37.4716,-121.1297,32.97,44,0,3.55,US,1719630977
143,churapcha,62.0025,132.4325,16.45,54,83,2.57,RU,1719630984
144,touba,8.2833,-7.6833,21.14,97,56,2.9,CI,1719630985
145,banda aceh,5.5577,95.3222,28.93,72,100,5.57,ID,1719630924
146,buryn',51.1991,33.8352,18.05,82,0,0.54,UA,1719630988
147,alice springs,-23.7,133.8833,26.75,44,100,10.8,AU,1719630989
148,capinota,-17.7167,-66.2333,17.67,73,2,2.56,BO,1719630990
149,meizhou,24.2977,116.1072,31.13,69,100,1.82,CN,1719630991
150,west island,-12.1568,96.8225,28.99,74,40,5.14,CC,1719630993
151,egilsstadir,65.2653,-14.3948,5.95,87,75,3.6,IS,1719630994
152,warrnambool,-38.3833,142.4833,11.9,67,100,7.31,AU,1719630995
153,puerto cabezas,14.0351,-83.3888,25.16,92,100,2.35,NI,1719630997
154,pacific grove,36.6177,-121.9166,14.34,90,75,3.09,US,1719630998
155,nangong,37.3581,115.3744,33.76,39,100,2.28,CN,1719630999
156,hemsby,52.6971,1.6918,12.25,87,4,2.31,GB,1719631001
157,byerazino,53.8391,28.9879,20.49,74,99,2.68,BY,1719631002
158,rabo de peixe,37.8,-25.5833,19.73,99,75,2.57,PT,1719631003
159,fale old settlement,-9.3852,-171.2468,28.7,76,17,7.28,TK,1719631005
160,pangkalanbuun,-2.6833,111.6167,29.56,74,73,1.41,ID,1719631006
161,badger,64.8,-147.5333,23.93,54,75,5.66,US,1719631007
162,sechura,-5.5569,-80.8222,19.16,75,4,5.96,PE,1719631010
163,general conesa,-40.1,-64.4333,3.77,68,6,5.35,AR,1719631011
164,tansen,27.8673,83.5467,21.95,87,94,1.0,NP,1719631012
165,anadyr,64.75,177.4833,14.28,72,75,6.0,RU,1719631014
166,burang,30.25,81.1667,12.93,63,89,2.29,CN,1719631015
167,bengkulu,-3.8004,102.2655,27.93,72,68,0.75,ID,1719631016
168,georgetown,5.4112,100.3354,29.97,70,20,2.06,MY,1719631018
169,suva,-18.1416,178.4415,24.71,94,75,3.6,FJ,1719631019
170,vernon,50.2581,-119.2691,24.2,46,19,5.14,CA,1719631020
171,petropavlovsk-kamchatsky,53.0452,158.6483,19.33,56,75,6.0,RU,1719631022
172,morshansk,53.4435,41.8107,17.02,92,50,2.67,RU,1719631023
173,aripuana,-9.1667,-60.6333,23.5,55,0,0.15,BR,1719631024
174,wajir,1.7471,40.0573,22.55,72,100,5.14,KE,1719631025
175,isafjordur,66.0755,-23.124,4.41,79,0,0.98,IS,1719631027
176,valparaiso,-33.0393,-71.6273,14.44,73,0,2.57,CL,1719631028
177,labasa,-16.4167,179.3833,26.99,79,38,2.08,FJ,1719631029
178,bungu,-7.6337,39.0582,18.86,97,66,1.7,TZ,1719631031
179,dharan,26.8125,87.2835,30.49,62,41,1.73,NP,1719631032
180,shawano,44.7822,-88.609,19.72,97,100,4.97,US,1719631033
181,ola,59.5833,151.2833,11.55,80,100,4.19,RU,1719631035
182,caleta de carquin,-11.0925,-77.6267,18.0,88,74,3.84,PE,1719631036
183,talara,-4.5772,-81.2719,18.89,82,5,4.43,PE,1719631037
184,colonia,50.9333,6.95,14.34,83,9,0.97,DE,1719630942
185,barra de santo antonio,-9.4047,-35.5072,21.6,76,99,0.79,BR,1719631040
186,qaqortoq,60.7167,-46.0333,3.77,98,100,6.57,GL,1719631041
187,tocoa,15.6833,-86.0,25.18,91,100,0.94,HN,1719631042
188,chilaw,7.5758,79.7953,27.75,82,41,7.74,LK,1719631044
189,dunedin,-45.8742,170.5036,13.22,56,0,1.34,NZ,1719630973
190,zaragoza,41.6561,-0.8773,19.33,71,75,3.6,ES,1719631048
191,kijang,35.2442,129.2139,22.18,86,100,5.9,KR,1719631049
192,vieste,41.8825,16.175,24.57,79,0,6.34,IT,1719631050
193,shohimardon,39.9839,71.8028,19.43,48,3,1.7,UZ,1719631053
194,gaoual,11.75,-13.2,25.46,88,99,1.37,GN,1719631054
195,al manzalah,31.1582,31.937,23.82,86,0,3.6,EG,1719631055
196,tinajo,29.0788,-13.7081,20.49,73,75,5.66,ES,1719631057
197,new norfolk,-42.7826,147.0587,13.84,65,73,5.91,AU,1719631058
198,onokhoy,51.932,108.0747,25.86,35,49,2.17,RU,1719631059
199,nadi,-17.8,177.4167,31.0,55,40,4.12,FJ,1719631060
200,gadzhiyevo,69.2551,33.3362,18.46,74,49,5.0,RU,1719631062
201,oroqen zizhiqi,50.5667,123.7167,26.39,32,94,2.5,CN,1719631063
202,afaahiti,-17.75,-149.2833,26.93,82,30,11.06,PF,1719631064
203,nacala,-14.5428,40.6728,19.75,95,82,3.48,MZ,1719631066
204,soledade,-28.8183,-52.5103,6.44,97,100,1.88,BR,1719631067
205,san antonio de pale,-1.4014,5.6325,23.52,91,62,4.69,GQ,1719631068
206,tralee,52.2704,-9.7026,12.92,98,100,1.4,IE,1719631070
207,villa dolores,-31.9459,-65.1896,8.63,17,0,3.43,AR,1719631071
208,isangel,-19.55,169.2667,26.06,61,40,4.12,VU,1719631072
209,vallenar,-28.5708,-70.7581,14.23,55,58,0.5,CL,1719631074
210,guerrero negro,27.9769,-114.0611,19.09,83,0,6.14,MX,1719631075
211,sarmiento,-45.5882,-69.07,-0.5,85,6,1.77,AR,1719631076
212,yanchep,-31.55,115.6833,16.45,63,8,4.0,AU,1719631077
213,mirpur sakro,24.5474,67.6277,31.19,73,100,3.78,PK,1719631079
214,jinghong,21.991,100.7341,29.39,65,100,1.06,CN,1719631080
215,sinop,41.7711,34.8709,14.49,69,9,1.59,TR,1719631081
